USB Device Number	 Description	 Packet Number	 Date And Time	 Elapsed Time	 RSL	 Packet Status	 Channel	 Byte Count	 PDU	 Priority	 L/S Adr	 ASN (0)	 Net ID	 To	 From	 DLPDU Specifier	 Advertise Payload	 DLL MIC	 CRC	 CRC Failure	 DLL Authenticates	 DLL Key Used	 DLL Nonce Used	 DLL ASN Used	 DLL Calc Mic	 NL Ctl	 TTL	 ASN Snippet	 Graph ID	 Dest	 Src	 Proxy	 Src Route 1	 Src Route 2	 PayloadHex	 Payload	 SL Ctl	 SL Cnt	 SL MIC	 SL Decrypts	 SL Key Used	 SL Nonce Used	 SL Calc Mic	 TL Ctl	 TL Status	 TL ExStatus	 Cipher Text	 Clear Text
124646	 802.15.4-DATA	 149735	 2016-04-26 18:50:26.139	 376,079,148.071	 -31	 0x0000	 16	 38	 Adv	 Cmd	 88	 06	 AAAA	 FFFF	 0001	 31	 0004310806000FFF7F010A010D00640200194D00000D	 03768255	 0EEB	 	 	 7777772E68617274636F6D6D2E6F7267	 00043108060000000000000001	 0004310806	 03768255	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 26418806AAAAFFFF0100310004310806000FFF7F010A010D00640200194D00000D037682550EEB	 
124646	 802.15.4-DATA	 149736	 2016-04-26 18:50:26.262	 376,079,271.518	 -64	 0x0000	 14	 33	 Adv	 Alarm	 88	 8E	 1055	 FFFF	 63BE	 09	 	 ED000000	 EDEC	 	 auth failure	 00000000000000000000000000000000	 00000000000000000000000000	 0000000000	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 2141888E5510FFFFBE630910FCFFBE631EADF6BDDB4000A213000100ED000000EDEC	 
124646	 802.15.4-DATA	 149737	 2016-04-26 18:50:26.320	 376,079,328.096	 -54	 0x0000	 24	 76	 Data	 PData	 88	 18	 AAAA	 0012	 0011	 2F	 	 4A559994	 F7EC	 	 auth failure	 00000000000000000000000000000000	 00043108180000000000000011	 0004310818	 6B011904	 00	 18	 	 	 FFFFFFFFFFFFFFFF	 FFFFFFFFFFFFFFFF	 	 	 	 	 	 	 error	 	 decrypt failure	 00000000000000000000000000000000	 00000000000000000000000000	 	 00	 00	 00	 4C418818AAAA120011002F002007FF011AF981001100A892F67B5BE5497A75D580725F3866CAA885994CC414EEC103D1D250747969CEE468FFA375B7FA726CA6C6477E079701604A559994F7EC	 
124646	 802.15.4-DATA	 149738	 2016-04-26 18:50:26.320	 376,079,331.735	 -53	 0x0000	 24	 19	 ACK	 PData	 88	 18	 AAAA	 0011	 0012	 28	 	 0F559AA7	 F8EB	 	 auth failure	 00000000000000000000000000000000	 00043108180000000000000012	 0004310818	 EB95A374	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 13418818AAAA11001200280000020F559AA7F8EB	 
124646	 802.15.4-DATA	 149739	 2016-04-26 18:50:26.340	 376,079,348.071	 -56	 0x0000	 21	 76	 Data	 PData	 88	 1A	 AAAA	 0001	 0012	 2F	 	 D0356908	 F5EA	 	 auth failure	 00000000000000000000000000000000	 000431081A0000000000000012	 000431081A	 962CA7BD	 00	 18	 	 	 FFFFFFFFFFFFFFFF	 FFFFFFFFFFFFFFFF	 	 	 	 	 	 	 error	 	 decrypt failure	 00000000000000000000000000000000	 00000000000000000000000000	 	 00	 00	 00	 4C41881AAAAA010012002F001F07FF011AF981001100A892F67B5BE5497A75D580725F3866CAA885994CC414EEC103D1D250747969CEE468FFA375B7FA726CA6C6477E07970160D0356908F5EA	 
124646	 802.15.4-DATA	 149740	 2016-04-26 18:50:26.340	 376,079,351.712	 -89	 0x0001	 19	 19	 ACK	 PData	 88	 1A	 AA7A	 0012	 0001	 28	 	 6A34AEE1	 D43D	 crc failure	 auth failure	 00000000000000000000000000000000	 00000000000000000000000000	 0000000000	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 1341881A7AAA120001002800001B6A34AEE1D43D	 
124646	 802.15.4-DATA	 149741	 2016-04-26 18:50:26.340	 376,079,351.712	 -34	 0x0000	 21	 19	 ACK	 PData	 88	 1A	 AAAA	 0012	 0001	 28	 	 6A34AEE1	 0BEB	 	 auth failure	 00000000000000000000000000000000	 000431081A0000000000000001	 000431081A	 B93B807B	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 1341881AAAAA120001002800001B6A34AEE10BEB	 
124646	 802.15.4-DATA	 149742	 2016-04-26 18:50:26.388	 376,079,398.072	 -31	 0x0000	 11	 38	 Adv	 Cmd	 88	 1F	 AAAA	 FFFF	 0001	 31	 000431081F000FFF7F010A010D00640200194D00000D	 B4B867FD	 0EEB	 	 	 7777772E68617274636F6D6D2E6F7267	 000431081F0000000000000001	 000431081F	 B4B867FD	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 2641881FAAAAFFFF010031000431081F000FFF7F010A010D00640200194D00000DB4B867FD0EEB	 
124646	 802.15.4-DATA	 149743	 2016-04-26 18:50:26.578	 376,079,588.535	 -64	 0x0000	 14	 33	 Adv	 Alarm	 88	 8F	 1055	 FFFF	 63BE	 09	 	 ED000000	 EDEC	 	 auth failure	 00000000000000000000000000000000	 00000000000000000000000000	 0000000000	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 2141888F5510FFFFBE630910FCFFBE631EADF6BDDB4000A213000100ED000000EDEC	 
124646	 802.15.4-DATA	 149744	 2016-04-26 18:50:26.707	 376,079,718.070	 -31	 0x0000	 13	 38	 Adv	 Cmd	 88	 3F	 AAAA	 FFFF	 0001	 31	 000431083F000FFF7F010A010D00640200194D00000D	 EEDD8D10	 0EEC	 	 	 7777772E68617274636F6D6D2E6F7267	 000431083F0000000000000001	 000431083F	 EEDD8D10	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 2641883FAAAAFFFF010031000431083F000FFF7F010A010D00640200194D00000DEEDD8D100EEC	 
