;netid  AAAA
;joinkey  00001234000000000000000000000000
124646, 802.15.4-DATA, 149748, 2016-04-26 18:50:27.089, 376080101.736, -33, 0x0000, 21, 13 41 88 65 AA AA 12 00 01 00 28 00 00 02 9F FA 31 30 0C EA
124646, 802.15.4-DATA, 149749, 2016-04-26 18:50:27.127, 376080137.830, -64, 0x0000, 14, 21 41 88 91 55 10 FF FF BE 63 09 10 FC FF BE 63 1E AD F6 BD DB 40 00 A2 13 00 01 00 ED 00 00 00 ED EB
124646, 802.15.4-DATA, 149750, 2016-04-26 18:50:27.319, 376080328.097, -54, 0x0000, 19, 4C 41 88 7C AA AA 12 00 11 00 2F 00 20 08 63 01 1A F9 81 00 11 00 A9 F9 08 B9 88 6F 3E 11 F2 FE 86 BA 23 80 AE 4F 45 33 BC 50 D3 BB 66 03 82 06 83 03 A9 0F B1 C8 DD AB 21 9A 23 68 C7 6D 68 54 02 8C 8E 34 C8 53 F7 60 87 AC 9D F7 EA
124646, 802.15.4-DATA, 149751, 2016-04-26 18:50:27.319, 376080331.734, -55, 0x0000, 19, 13 41 88 7C AA AA 11 00 12 00 28 00 00 1D 36 C9 34 AE F6 EB
124646, 802.15.4-DATA, 149752, 2016-04-26 18:50:27.339, 376080348.098, -55, 0x0000, 16, 4C 41 88 7E AA AA 01 00 12 00 2F 00 1F 08 63 01 1A F9 81 00 11 00 A9 F9 08 B9 88 6F 3E 11 F2 FE 86 BA 23 80 AE 4F 45 33 BC 50 D3 BB 66 03 82 06 83 03 A9 0F B1 C8 DD AB 21 9A 23 68 C7 6D 68 54 02 8C 8E 34 C8 53 F7 05 34 7D 01 F6 EB
124646, 802.15.4-DATA, 149753, 2016-04-26 18:50:27.339, 376080351.737, -31, 0x0000, 16, 13 41 88 7E AA AA 12 00 01 00 28 00 00 00 4A A3 D5 49 0E EA
124646, 802.15.4-DATA, 149754, 2016-04-26 18:50:27.387, 376080398.069, -33, 0x0000, 21, 26 41 88 83 AA AA FF FF 01 00 31 00 04 31 08 83 00 0F FF 7F 01 0A 01 0D 00 64 02 00 19 4D 00 00 0D EC DE 89 3C 0C EC
124646, 802.15.4-DATA, 149755, 2016-04-26 18:50:27.458, 376080468.069, -31, 0x0000, 13, 26 41 88 8A AA AA FF FF 01 00 31 00 04 31 08 8A 00 0F FF 7F 01 0A 01 0D 00 64 02 00 19 4D 00 00 0D CB FD E8 30 0E EC
124646, 802.15.4-DATA, 149756, 2016-04-26 18:50:27.708, 376080718.070, -32, 0x0000, 23, 26 41 88 A3 AA AA FF FF 01 00 31 00 04 31 08 A3 00 0F FF 7F 01 0A 01 0D 00 64 02 00 19 4D 00 00 0D 81 2D F4 AB 0D EC
124646, 802.15.4-DATA, 149757, 2016-04-26 18:50:28.068, 376081078.068, -31, 0x0000, 14, 26 41 88 C7 AA AA FF FF 01 00 31 00 04 31 08 C7 00 0F FF 7F 01 0A 01 0D 00 64 02 00 19 4D 00 00 0D F4 CB A4 B0 0E EB
124646, 802.15.4-DATA, 149758, 2016-04-26 18:50:28.090, 376081098.093, -55, 0x0000, 16, 4C 41 88 C9 AA AA 01 00 12 00 2F 00 20 08 C7 01 1C F9 81 00 12 00 7A 4E 9D DF 35 B4 D6 AC 2A 29 45 9A 1C 43 D4 76 C9 E2 E4 B4 38 34 D4 25 4D EF 26 0E AB 60 78 27 15 2A 72 84 76 04 B3 E9 7A 01 73 5B EF AC C9 13 F6 1B 41 13 89 F6 E8
124646, 802.15.4-DATA, 149759, 2016-04-26 18:50:28.090, 376081101.732, -31, 0x0000, 16, 13 41 88 C9 AA AA 12 00 01 00 28 00 00 04 58 E0 43 4D 0E EB
